t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0024,approach,2,to_lo,-0.03834,0.00057,1.20985,1.60773,-0.12036,1.51045,-0.00973,-0.0024,0.0024,-0.0024,-0.0220,-0.0073,-0.0220,-0.0073,0.0068,0.0068,-0.4718,-0.0073,-0.0904,0.0024,-0.0024,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,-0.03834,0.00057,1.21023,1.60811,-0.11997,1.51045,-0.00973,-0.0024,0.0024,-0.0073,-0.0073,-0.0220,0.0073,0.0073,-0.0068,0.0342,-0.6906,0.0073,-0.0952,-0.0024,-0.0024,1,1,1,1,1,1,1
0.0823,approach,2,to_lo,-0.03834,0.00057,1.21023,1.60811,-0.11997,1.51045,-0.00973,-0.0024,0.0024,-0.0073,-0.0073,-0.0220,0.0073,0.0073,-0.0068,0.0342,-0.6906,0.0073,-0.0952,-0.0024,-0.0024,1,1,1,1,1,1,1
0.1223,approach,2,to_lo,-0.03834,0.00858,1.21023,1.60163,-0.11997,1.51045,-0.00973,0.0024,0.1441,-0.0024,-0.1245,-0.0073,0.0073,-0.0073,-0.0205,4.2051,-0.8684,-0.4567,-0.0952,-0.0024,-0.0024,1,1,1,1,1,1,1
0.1625,approach,2,to_lo,-0.03834,0.00858,1.21023,1.60163,-0.11997,1.51045,-0.00973,0.0024,0.1441,-0.0024,-0.1245,-0.0073,0.0073,-0.0073,-0.0205,4.2051,-0.8684,-0.4567,-0.0952,-0.0024,-0.0024,1,1,1,1,1,1,1
0.2023,approach,2,to_lo,-0.03834,0.00858,1.21023,1.60163,-0.11997,1.51045,-0.00973,0.0024,0.1441,-0.0024,-0.1245,-0.0073,0.0073,-0.0073,-0.0205,4.2051,-0.8684,-0.4567,-0.0952,-0.0024,-0.0024,1,1,1,1,1,1,1
0.2425,approach,2,to_lo,-0.03872,0.02270,1.21023,1.58827,-0.12036,1.51007,-0.00973,-0.0024,0.1001,-0.0073,-0.1392,0.0073,-0.0220,-0.0073,-0.0068,7.8564,-1.1692,-0.6862,-0.0952,-0.0024,-0.0073,1,1,1,1,1,1,1
0.2825,approach,2,to_lo,-0.03872,0.02270,1.21023,1.58827,-0.12036,1.51007,-0.00973,-0.0024,0.1001,-0.0073,-0.1392,0.0073,-0.0220,-0.0073,-0.0068,7.8564,-1.1692,-0.6862,-0.0952,-0.0024,-0.0073,1,1,1,1,1,1,1
0.3225,approach,2,to_lo,-0.03872,0.03071,1.21023,1.58331,-0.12036,1.51007,-0.00973,0.0024,0.0659,-0.0024,-0.0513,-0.0220,-0.0073,-0.0073,0.0068,10.7829,-1.3197,-0.8083,-0.0904,0.0024,-0.0073,1,1,1,1,1,1,1
0.3622,approach,2,to_lo,-0.03872,0.03071,1.21023,1.58331,-0.12036,1.51007,-0.00973,0.0024,0.0659,-0.0024,-0.0513,-0.0220,-0.0073,-0.0073,0.0068,10.7829,-1.3197,-0.8083,-0.0904,0.0024,-0.0073,1,1,1,1,1,1,1
